State,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Aguascalientes,14,66,27,13,22,26,20,18,19,24,49,63
Baja California,492,292,657,459,456,461,471,470,539,483,511,853
Baja California Sur,60,18,31,31,25,28,23,36,34,20,28,28
Campeche,130,117,78,55,52,51,55,37,51,28,36,45
Chiapas,1357,1399,1458,1270,1252,1056,921,835,415,358,358,364
Chihuahua,677,584,425,437,503,523,455,440,550,593,617,1414
Coahuila de Zaragoza,175,155,139,128,130,118,116,103,139,109,121,179
Colima,99,89,53,43,56,45,34,45,44,36,30,33
Distrito Federal,977,947,880,709,811,748,715,710,698,649,714,713
Durango,61,134,291,163,321,170,216,120,189,112,250,430
Guanajuato,327,230,259,280,233,208,213,194,213,242,229,257
Guerrero,1273,1306,1242,1399,1255,1035,854,539,755,837,800,951
Hidalgo,360,250,199,115,148,129,113,123,118,101,147,139
Jalisco,570,604,545,479,488,431,424,370,384,425,385,462
México,3035,2995,2966,2726,2862,2870,2879,2845,2313,2766,1127,1261
Michoacán de Ocampo,757,1024,575,487,475,428,446,476,427,674,527,565
Morelos,178,216,346,318,193,226,173,219,160,159,113,135
Nayarit,132,165,146,121,127,117,95,109,93,94,108,147
Nuevo León,163,160,131,123,140,124,135,117,143,180,283,263
Oaxaca,788,748,823,972,1625,1406,1492,1130,1053,1077,948,733
Puebla,729,675,575,573,502,463,488,468,341,415,401,429
Querétaro,234,117,55,64,86,71,71,62,68,52,57,58
Quintana Roo,335,117,123,245,252,194,228,138,119,118,176,192
San Luis Potosí,299,297,416,348,195,314,123,166,176,116,153,218
Sinaloa,669,644,564,499,551,485,482,515,609,602,741,1156
Sonora,526,555,292,194,185,165,203,250,275,238,308,393
Tabasco,353,368,229,213,169,141,150,120,84,84,193,148
Tamaulipas,473,428,253,219,165,184,242,225,357,338,265,308
Tlaxcala,63,49,163,280,352,309,286,260,350,158,42,42
Veracruz de Ignacio de la Llave,722,707,594,465,467,450,501,465,459,434,478,477
Yucatán,22,23,8,26,16,30,32,30,22,22,30,47
Zacatecas,113,116,90,96,94,104,104,55,58,50,66,74
