"State","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008"
"Aguascalientes",32,44,35,33,22,35,30,23,46,23,16,23,30,24,22,25,27,43,58
"Baja California",262,284,322,281,356,389,388,337,576,639,428,405,434,449,470,442,462,368,1027
"Baja California Sur",12,16,19,20,27,33,24,35,18,33,28,23,32,25,32,32,26,31,38
"Campeche",58,53,57,69,74,102,79,76,88,78,64,54,54,43,37,50,32,51,50
"Chiapas",274,470,445,508,621,699,658,595,816,598,422,175,463,443,228,299,532,105,258
"Chihuahua",210,303,308,285,587,750,652,655,629,529,586,605,624,528,482,595,612,514,2567
"Coahuila de Zaragoza",95,153,152,149,209,172,176,152,143,143,125,155,139,118,117,146,99,109,171
"Colima",64,84,78,65,76,61,46,50,61,62,57,59,45,43,53,48,43,44,55
"Distrito Federal",1253,1061,1214,1151,1180,1353,1279,1217,1222,1042,928,988,950,982,947,883,820,849,912
"Durango",134,248,298,206,343,291,242,251,246,197,155,165,171,195,159,166,168,174,408
"Guanajuato",277,309,279,348,326,285,284,293,312,255,237,230,200,220,176,217,206,219,292
"Guerrero",343,489,624,620,1184,1263,1037,1042,1093,964,781,651,599,576,582,589,816,728,941
"Hidalgo",141,129,105,128,153,160,128,134,165,117,99,120,63,78,79,71,51,72,72
"Jalisco",555,636,676,677,698,781,739,620,559,542,478,496,490,464,415,447,476,443,541
"México",2678,2879,2917,2942,3174,2747,2738,2469,2371,2113,2017,1935,1957,1909,1739,2017,1743,1235,1559
"Michoacán de Ocampo",919,1028,1146,1086,1256,1121,1102,833,640,642,595,612,541,548,553,679,1000,545,624
"Morelos",250,269,346,391,457,347,343,305,314,308,240,207,176,169,162,134,140,129,209
"Nayarit",152,150,183,147,264,189,124,161,122,123,101,111,152,106,137,130,99,108,147
"Nuevo León",62,83,109,109,134,111,110,114,133,118,113,89,103,150,117,148,177,278,231
"Oaxaca",1221,1281,1312,1297,1162,1182,1126,952,950,788,696,634,602,619,628,547,533,571,578
"Puebla",517,413,532,590,486,596,474,500,506,457,410,434,393,370,360,315,350,279,344
"Querétaro",43,72,76,72,101,89,102,106,84,91,107,106,71,85,72,80,62,57,71
"Quintana Roo",49,48,44,75,155,74,59,89,78,85,80,99,70,135,140,71,68,120,143
"San Luis Potosí",176,181,236,212,230,212,209,198,317,282,272,233,152,147,135,131,160,145,193
"Sinaloa",450,552,625,544,620,598,637,595,561,519,456,475,457,423,385,450,450,377,782
"Sonora",168,195,248,210,255,303,331,284,303,289,198,260,218,226,258,259,243,324,428
"Tabasco",133,119,137,153,238,232,184,162,145,149,89,101,97,117,110,101,145,145,150
"Tamaulipas",175,196,249,244,357,319,276,275,321,285,264,188,181,227,225,351,346,194,257
"Tlaxcala",38,27,41,45,43,69,60,68,67,76,56,53,55,39,50,50,43,36,54
"Veracruz de Ignacio de la Llave",582,721,771,688,702,613,556,612,497,433,421,389,352,396,337,343,354,384,327
"Yucatán",55,50,39,56,47,50,41,47,45,34,45,36,51,52,36,39,39,49,49
"Zacatecas",122,113,146,120,117,168,115,115,117,84,78,95,98,91,89,78,78,74,92
