State,2000,2001,2002,2003,2004,2005,2006,2007,2008
Aguascalientes,0.413352527,0.808336373,0.890255266,0.678823424,0.666297348,0.65455858,0.919113423,2.078966374,3.37991689
Baja California,11.75833566,10.008895,10.99301203,10.22024438,11.25276935,9.778641322,10.35112673,8.218019377,25.42733676
Baja California Sur,2.515274577,1.548045813,3.212803235,1.869935591,3.431044087,3.53270896,2.482944084,2.232200987,1.450523548
Campeche,1.836910599,1.529696272,2.191991013,1.75654787,2.400969992,1.71280931,1.171536353,2.829560158,2.160779813
Coahuila de Zaragoza,2.560436981,3.064670852,2.894163341,2.119968184,1.851186349,2.385291339,1.650242173,1.942539676,3.651200438
Colima,4.360685576,4.659094086,4.95038613,2.889030532,4.09348815,3.33493059,3.80902913,3.07466832,4.719970871
Chiapas,3.334951863,1.321906836,2.483063937,2.638870563,1.689933372,3.339465737,3.896925853,0.702659771,1.322866099
Chihuahua,12.03172573,11.23865114,12.06878763,9.587384134,7.485218247,10.13354165,11.90642883,8.416288886,63.33457741
Distrito Federal,6.381481516,6.856057922,6.523192172,6.085442802,5.870826376,5.365659484,5.214030866,5.594929589,5.013555273
Durango,7.060200428,8.208683576,8.144257497,9.018609503,7.451186486,7.939226208,7.118144215,7.931085369,17.93328301
Guanajuato,2.459006574,2.331503103,2.208429514,2.171708376,1.771068797,2.185967103,2.012798176,2.08194662,3.286328872
Guerrero,17.23449367,13.81473548,13.58137752,12.95890854,12.86097038,12.07611566,17.57317053,16.60474019,19.64614058
Hidalgo,2.015701438,2.864674098,1.85051935,2.520454126,2.079946346,2.068115276,1.217111241,1.502378139,2.116918663
Jalisco,4.438780111,4.5816021,4.238428142,4.673624005,3.675369903,3.936499399,4.1937795,3.795388574,4.91322907
México,5.064419494,4.931383646,5.030655181,4.637319306,3.788824951,4.095079177,4.146860721,3.893238263,5.062016188
Michoacán de Ocampo,11.13330074,10.5524387,9.243140058,9.77592104,9.924940159,12.19835825,19.33221436,10.67351108,10.10567215
Morelos,8.628345998,7.630200719,6.469441719,5.71486707,4.045000317,4.071884808,4.587910794,4.185717241,7.521905293
Nayarit,6.083406708,6.680890955,10.96815018,6.929672227,8.474638337,8.554257464,5.512902793,6.740745734,10.34130441
Nuevo León,1.206384392,0.856970167,1.238798781,1.682461075,0.912859402,1.65798946,2.149537733,3.942740343,2.708796418
Oaxaca,10.58419944,9.374176042,8.918907095,9.013756965,9.372189926,8.555593487,8.837522432,8.75299389,10.55654083
Puebla,3.864360169,3.591481937,2.92779876,2.719625326,2.780327448,2.841280709,3.065773991,2.274934501,3.109497191
Querétaro,2.157167013,2.311272689,1.595497506,2.278211253,1.913964733,1.814667393,1.289341018,1.386017255,1.538423305
Quintana Roo,1.43657838,1.893349714,0.903375916,1.44042821,2.39395912,0.796000892,2.041727812,3.030573573,2.051950655
San Luis Potosí,3.026447313,3.1663793,2.971952305,2.742444565,3.096780587,2.709867984,3.26697428,2.884274771,4.568096575
Sinaloa,13.62160045,15.1667262,14.02576679,13.21220365,12.18510082,14.28423268,14.25294119,11.42409258,25.14792341
Sonora,4.418666924,6.269112085,5.109456143,4.663441544,6.746086118,6.713428598,6.068540889,8.88904403,11.33619123
Tabasco,0.88028716,1.6923372,1.271025301,1.614818381,1.604367892,1.545150545,2.279812262,2.809217189,2.352965398
Tamaulipas,5.090074746,3.847190974,3.267997464,4.911880857,4.007021638,7.180675682,7.086368201,2.599441473,3.454891635
Tlaxcala,1.519916992,1.491161884,1.366940543,1.152259581,1.607133403,1.490417084,1.469093487,1.176917924,1.786002917
Veracruz de Ignacio de la Llave,2.091950771,2.077263461,1.65751475,2.278765429,1.866401842,2.15244116,2.090944162,2.181677691,1.804129639
Yucatán,0.471929904,0.463994868,0.456644984,0.731131877,0.166401349,0.383194197,0.648496515,0.800326533,0.526846518
Zacatecas,3.631828473,4.12893879,4.120998294,3.972622133,3.899922218,3.612701101,3.397645215,3.399434247,3.836690196
