Year,PAHO,UN Survey of Crime,ICESI,INEGI
1990,,,,13.69520201
1991,,,,14.78792554
1992,,,,15.79288471
1993,,,,15.23458386
1994,,,,17.34212109
1995,18.4,,,16.78286096
1996,17,,,15.40748018
1997,15.8,,17.10767812,14.14614354
1998,15.9,14.93277311,16.28038211,14.14028699
1999,14.4,15.13354037,15.06772946,12.45741755
2000,12.3,14.11122449,13.76493156,10.81080455
2001,11.7,13.94185777,14.24853323,10.23511614
2002,11.3,13.03722513,12.99185544,9.929701873
2003,11.3,,12.5098585,9.801023152
2004,10.6,,11.34930884,9.060029951
2005,10.5,,10.82764727,9.555843656
2006,11.2,,11.05514124,9.916635234
2007,,,9.727695883,8.318309568
2008,,,11.78918555,12.77435165
